G,GS,MPG,FG%,3p%,FT%,OFF,DEF,RPG,APG,SPG,BPG,TO,PF,PPG,Class
163,90,22.9,400,338,809,0.3,1.6,1.9,3.9,0.8,0,2.3,1.1,9.2,1
10,0,9.5,344,231,667,0.6,0.9,1.5,1,0.3,0,1,0.5,3.5,1
389,214,27.1,411,366,861,0.4,2,2.4,3.2,0.7,0.3,1.6,2.2,11.6,1
61,7,18.6,386,361,833,0.3,0.9,1.2,1.8,0.5,0,1.1,1.2,7.6,1
113,12,11.6,397,301,562,0.4,1.1,1.5,1.8,0.7,0,0.8,0.9,4.5,1
422,113,22.6,437,360,808,0.6,2.2,2.8,1.4,0.8,0.7,1.1,2.4,8.6,1
127,85,25.4,445,352,788,0.7,3.9,4.7,1.8,1.3,0.5,1.5,2.5,10,1
351,74,23.9,409,416,786,0.4,1.7,2.1,2,0.6,0.2,1,2.1,8.2,1
667,346,27.9,452,373,835,0.8,3.2,4,3.9,1.5,0.3,2.1,2.2,15.2,1
594,269,29.9,436,406,859,0.5,2.2,2.7,2.8,0.8,0.2,2.2,2.5,16.5,1
205,190,35.7,452,370,807,0.6,2.1,2.7,3.3,1.1,0.4,2.4,2,18.2,1
40,0,10.4,391,373,917,0.1,0.7,0.8,0.5,0.1,0,0.5,0.8,4.4,1
94,38,18.4,441,418,783,0.7,2.1,2.8,1,0.7,0.5,0.8,1.3,7.3,1
212,43,17.3,433,366,799,0.6,1.7,2.2,0.8,0.5,0.2,1.2,2,8.3,1
552,226,21.3,428,334,762,0.4,1.5,1.9,1.5,0.6,0.1,1.1,1.8,9.1,1
26,2,9.9,432,362,400,0.4,2,2.4,0.8,0.2,0.1,0.6,0.6,4.4,1
871,738,32.7,450,348,851,0.9,2.3,3.2,3.5,0.8,0.1,2.2,2.6,17.5,1
220,7,26.7,444,370,835,0.5,2.9,3.4,2.5,1.1,0.3,1.6,2.5,12.7,1
543,408,28.1,441,315,801,0.4,2,2.4,5,1.2,0.2,2.2,2.5,13.1,1
80,20,17.4,383,359,737,0.6,2,2.6,1.4,0.6,0.2,1.1,1.2,6.2,1
22,1,14.5,349,205,667,0.8,1.5,2.3,1.2,0.4,0.1,1.1,1.5,3.6,1
166,85,23.2,450,216,768,0.8,2.2,2.9,1.4,0.7,0.4,1.1,1.6,9.6,1
83,16,15.5,399,265,620,0.4,1.3,1.7,0.6,0.4,0.1,0.6,1.3,4.9,1
38,0,11.1,325,200,700,0.2,0.7,0.9,0.9,0.1,0.2,1,1.1,3.9,1
281,64,24.8,451,376,806,0.5,2.1,2.5,2.5,0.8,0.3,1.2,2.2,9.8,1
634,515,33,417,378,811,0.4,2.8,3.2,5.4,1.2,0.3,2,3,12.5,1
