G,GS,MPG,FG%,3p%,FT%,OFF,DEF,RPG,APG,SPG,BPG,TO,PF,PPG,Class
511,507,32.6,517,0,585,3.3,6.7,10.1,0.8,0.7,1.8,1.7,3,12.7,2
16,2,11.6,567,0,440,1.2,1.3,2.4,0.3,0.5,0.6,0.4,1.9,2.8,2
637,214,20.3,464,0,732,2.1,3.3,5.4,0.9,0.6,0.4,1.3,2.7,6.9,2
116,7,20.3,481,0,707,1.7,2.5,4.2,0.8,0.4,0.6,0.7,1.6,7.1,2
112,46,19.2,547,0,751,2.4,2.4,4.8,0.5,0.4,0.6,1.6,2.5,9,2
59,5,8.7,574,0,815,0.6,1.6,2.2,0.1,0.2,0.3,0.2,1.6,2.3,2
536,417,22.9,553,0,606,1.9,4.3,6.2,1,0.3,1.4,1.7,2.8,6.2,2
442,131,15.6,463,111,669,1.1,2.8,3.9,0.5,0.4,0.5,0.8,2.5,4.7,2
37,6,8.4,464,0,643,0.8,1.2,2,0.2,0.2,0.2,0.5,2,2.9,2
580,396,20.1,552,0,558,1.9,4.4,6.3,0.4,0.3,1.4,1,2.7,4,2
91,10,16.8,456,0,661,1.5,2.2,3.7,0.4,0.4,0.4,1.2,2.2,6.4,2
112,12,13.5,442,0,523,1.1,1.9,3,0.4,0.5,1.3,0.7,2.2,4,2
115,22,15.7,509,0,683,1.6,2.2,3.8,0.4,0.3,0.9,0.9,2.3,5.3,2
8,0,8.6,636,0,0,0.6,1.9,2.5,0.1,0.2,0.6,0.1,2.1,1.8,2
249,38,15.3,468,278,726,1.2,2,3.2,0.5,0.4,0.6,0.7,2,5,2
265,58,16.4,481,150,760,1.5,2.7,4.3,0.5,0.3,0.5,0.8,2.3,7.6,2
119,8,15.6,586,0,626,1.4,2.9,4.3,0.8,0.4,0.5,1,1.9,6.9,2
55,3,13.9,545,0,707,0.9,2.3,3.2,0.5,0.7,1.6,0.6,2.6,2.9,2
641,624,34.5,533,244,762,2.6,6.1,8.8,1.5,0.9,1.4,2.6,3.4,21.6,2
135,16,10.3,547,0,581,0.9,1.7,2.7,0.1,0.2,0.8,0.5,1.9,2.2,2
1071,633,25,485,258,762,1.8,5,6.8,1.1,0.7,0.8,1.2,3.3,8.3,2
60,25,23.7,439,0,552,3.1,3.4,6.5,0.5,0.4,1,1.4,2.2,8.2,2
375,95,17.8,530,0,677,1.1,2.7,3.8,1.5,0.4,1.4,0.8,2.6,5.2,2
42,23,13.5,421,0,558,1.3,2,3.3,0.4,0.4,0.5,0.9,2,4.9,2
119,29,19.5,433,0,719,1.5,2.1,3.7,0.8,0.5,1.6,0.8,2.7,4.8,2
444,128,25.1,519,37,609,2.4,4.8,7.2,1,0.9,0.7,0.9,2.8,7.3,2
51,15,15.9,450,375,529,1.7,3.1,4.8,0.6,0.4,0.7,0.6,2.2,5.5,2
1088,912,29.5,474,137,414,3.2,6.5,9.6,1.3,1.3,2,1,1.9,5.7,2
14,0,12,414,0,478,0.9,1.9,2.8,0.2,0.5,0.4,1.1,1.6,2.5,2
19,0,5.8,444,0,417,0.8,1.2,2.1,0,0.2,0.8,0.3,0.7,1.5,2
43,5,14.7,507,0,652,1.5,2.1,3.6,0.3,0.5,0.4,0.5,1.4,4.6,2
137,29,14.4,511,0,624,1.3,2.1,3.4,0.3,0.3,1.2,0.9,2.4,4.2,2
361,104,15.5,462,222,740,1.5,2.9,4.3,0.5,0.5,0.4,0.8,2,4.5,2
